Timestamp,Speed_KMH,Throttle,Brake,Steer,Gap,Status
1773472422.563,0.00,0.20,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472422.621,0.01,0.35,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472422.689,0.00,0.46,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472422.755,0.00,0.55,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472422.817,0.01,0.61,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472422.888,0.01,0.66,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472422.953,0.00,0.69,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472423.015,0.00,0.72,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472423.075,0.00,0.74,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472423.139,0.00,0.75,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472423.199,0.00,0.77,0.00,-0.47,50.0,FOLLOWING ROUTE
1773472423.265,3.70,0.77,0.00,-0.45,50.0,FOLLOWING ROUTE
1773472423.334,6.64,0.78,0.00,-0.42,50.0,FOLLOWING ROUTE
1773472423.405,8.79,0.79,0.00,-0.38,50.0,FOLLOWING ROUTE
1773472423.468,10.42,0.79,0.00,-0.28,50.0,FOLLOWING ROUTE
1773472423.532,11.71,0.79,0.00,-0.24,50.0,FOLLOWING ROUTE
1773472423.595,12.99,0.79,0.00,-0.21,50.0,FOLLOWING ROUTE
1773472423.663,14.22,0.80,0.00,-0.18,50.0,FOLLOWING ROUTE
1773472423.728,15.45,0.80,0.00,-0.09,50.0,FOLLOWING ROUTE
1773472423.793,16.61,0.80,0.00,-0.07,50.0,FOLLOWING ROUTE
1773472423.861,17.83,0.80,0.00,-0.02,50.0,FOLLOWING ROUTE
1773472423.931,18.97,0.80,0.00,0.02,50.0,FOLLOWING ROUTE
1773472424.000,19.63,0.80,0.00,0.02,50.0,FOLLOWING ROUTE
1773472424.065,20.27,0.80,0.00,0.04,50.0,FOLLOWING ROUTE
1773472424.146,21.21,0.78,0.00,0.04,50.0,FOLLOWING ROUTE
1773472424.212,22.49,0.76,0.00,0.05,50.0,FOLLOWING ROUTE
1773472424.275,23.71,0.72,0.00,0.06,50.0,FOLLOWING ROUTE
1773472424.334,25.10,0.68,0.00,0.05,50.0,FOLLOWING ROUTE
1773472424.405,26.23,0.63,0.00,0.05,50.0,FOLLOWING ROUTE
1773472424.470,27.06,0.58,0.00,0.05,50.0,FOLLOWING ROUTE
1773472424.539,27.78,0.54,0.00,0.04,50.0,FOLLOWING ROUTE
1773472424.609,28.42,0.50,0.00,0.04,50.0,FOLLOWING ROUTE
1773472424.672,28.91,0.46,0.00,0.03,50.0,FOLLOWING ROUTE
1773472424.737,29.40,0.43,0.00,0.03,50.0,FOLLOWING ROUTE
1773472424.801,29.58,0.40,0.00,0.03,50.0,FOLLOWING ROUTE
1773472424.866,29.81,0.38,0.00,0.02,50.0,FOLLOWING ROUTE
1773472424.931,30.06,0.28,0.00,0.02,50.0,FOLLOWING ROUTE
1773472424.994,30.21,0.21,0.00,0.02,50.0,FOLLOWING ROUTE
1773472425.055,30.15,0.16,0.01,0.02,50.0,FOLLOWING ROUTE
1773472425.115,29.99,0.20,0.00,0.01,50.0,FOLLOWING ROUTE
1773472425.186,29.69,0.23,0.00,0.02,50.0,FOLLOWING ROUTE
1773472425.256,29.26,0.25,0.00,0.01,50.0,FOLLOWING ROUTE
1773472425.317,28.96,0.28,0.00,0.01,50.0,FOLLOWING ROUTE
1773472425.380,28.63,0.30,0.00,0.01,50.0,FOLLOWING ROUTE
1773472425.443,28.42,0.32,0.00,0.01,50.0,FOLLOWING ROUTE
1773472425.507,28.25,0.34,0.00,0.00,50.0,FOLLOWING ROUTE
1773472425.574,28.12,0.35,0.00,0.00,50.0,FOLLOWING ROUTE
1773472425.640,27.97,0.36,0.00,0.00,50.0,FOLLOWING ROUTE
1773472425.704,27.83,0.37,0.00,0.00,50.0,FOLLOWING ROUTE
1773472425.773,27.81,0.38,0.00,0.00,50.0,FOLLOWING ROUTE
1773472425.839,27.88,0.39,0.00,0.00,50.0,FOLLOWING ROUTE
1773472425.904,27.91,0.39,0.00,-0.02,50.0,FOLLOWING ROUTE
1773472425.972,27.99,0.39,0.00,-0.01,50.0,FOLLOWING ROUTE
1773472426.041,28.05,0.40,0.00,-0.01,50.0,FOLLOWING ROUTE
1773472426.108,28.01,0.40,0.00,-0.01,50.0,FOLLOWING ROUTE
1773472426.176,28.01,0.40,0.00,-0.01,50.0,FOLLOWING ROUTE
1773472426.248,28.14,0.40,0.00,-0.04,50.0,FOLLOWING ROUTE
1773472426.315,28.28,0.39,0.00,-0.03,50.0,FOLLOWING ROUTE
1773472426.383,28.34,0.39,0.00,-0.03,50.0,FOLLOWING ROUTE
1773472426.452,28.42,0.39,0.00,-0.07,50.0,FOLLOWING ROUTE
1773472426.520,28.32,0.39,0.00,-0.06,50.0,FOLLOWING ROUTE
1773472426.596,28.38,0.39,0.00,-0.04,50.0,FOLLOWING ROUTE
1773472426.667,28.45,0.38,0.00,-0.03,50.0,FOLLOWING ROUTE
1773472426.737,28.48,0.38,0.00,-0.08,50.0,FOLLOWING ROUTE
1773472426.805,28.47,0.38,0.00,-0.07,50.0,FOLLOWING ROUTE
1773472426.873,28.53,0.38,0.00,-0.06,50.0,FOLLOWING ROUTE
1773472426.942,28.57,0.38,0.00,-0.11,50.0,FOLLOWING ROUTE
1773472427.014,28.58,0.38,0.00,-0.10,50.0,FOLLOWING ROUTE
1773472427.085,28.66,0.37,0.00,-0.08,50.0,FOLLOWING ROUTE
1773472427.145,28.70,0.37,0.00,-0.13,50.0,FOLLOWING ROUTE
1773472427.216,28.72,0.00,1.00,-0.11,50.0,RED LIGHT
1773472427.281,28.68,0.00,1.00,-0.09,50.0,RED LIGHT
1773472427.349,28.07,0.00,1.00,-0.07,50.0,RED LIGHT
1773472427.416,27.08,0.00,1.00,-0.06,50.0,RED LIGHT
1773472427.483,25.87,0.00,1.00,-0.05,50.0,RED LIGHT
1773472427.555,24.42,0.00,1.00,-0.04,50.0,RED LIGHT
1773472427.631,22.90,0.00,1.00,-0.03,50.0,RED LIGHT
1773472427.699,21.52,0.00,1.00,-0.02,50.0,RED LIGHT
1773472427.765,20.21,0.00,1.00,-0.02,50.0,RED LIGHT
1773472427.837,18.88,0.00,1.00,-0.02,50.0,RED LIGHT
1773472427.907,17.34,0.00,1.00,-0.01,50.0,RED LIGHT
1773472427.984,14.01,0.00,1.00,0.00,50.0,RED LIGHT
1773472428.050,11.27,0.00,1.00,0.01,50.0,RED LIGHT
1773472428.120,8.74,0.00,1.00,0.02,50.0,RED LIGHT
1773472428.192,5.86,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.264,0.03,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.336,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.397,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.465,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.534,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.609,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.680,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.755,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.832,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.904,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472428.973,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.043,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.113,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.177,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.247,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.319,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.389,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.462,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.530,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.594,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.665,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.732,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.802,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.872,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472429.939,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.009,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.082,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.152,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.215,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.283,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.353,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.417,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.487,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.557,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.627,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.695,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.765,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.837,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.904,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472430.971,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.040,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.109,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.182,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.251,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.321,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.389,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.459,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.528,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.594,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.674,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.738,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.813,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.882,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472431.944,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472432.010,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472432.073,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472432.142,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472432.215,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472432.283,0.00,0.00,1.00,0.03,50.0,RED LIGHT
